,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
74,MobileNetV3,ImageNet,1,32,1,1.032,EfficientNet,CIFAR-10,1,32,0,0.949,30.438,4.644,4706
75,MobileNetV3,ImageNet,1,32,1,1.022,EfficientNet,CIFAR-10,1,32,1,0.984,28.041,3.068,4580
76,MobileNetV3,ImageNet,1,32,0,0.998,EfficientNet,CIFAR-10,1,64,0,0.885,40.205,10.849,5482
77,MobileNetV3,ImageNet,1,32,0,0.993,EfficientNet,CIFAR-10,1,64,1,0.918,33.795,7.397,5006
78,MobileNetV3,ImageNet,1,32,1,1.002,EfficientNet,CIFAR-10,1,64,0,0.871,37.123,7.849,5144
79,MobileNetV3,ImageNet,1,32,1,1.017,EfficientNet,CIFAR-10,1,64,1,0.907,30.681,4.833,4694
80,MobileNetV3,ImageNet,1,32,0,1.022,EfficientNet,CIFAR-10,1,128,0,0.926,52.883,19.39,5296
81,MobileNetV3,ImageNet,1,32,0,1.076,EfficientNet,CIFAR-10,1,128,1,0.871,42.493,11.096,5074
82,MobileNetV3,ImageNet,1,32,1,1.001,EfficientNet,CIFAR-10,1,128,0,0.907,47.827,16.813,5008
83,MobileNetV3,ImageNet,1,32,1,1.005,EfficientNet,CIFAR-10,1,128,1,0.885,38.333,8.611,4786
84,MobileNetV3,ImageNet,1,64,0,1.023,EfficientNet,CIFAR-10,1,32,0,1.001,40.863,12.616,5596
85,MobileNetV3,ImageNet,1,64,0,0.982,EfficientNet,CIFAR-10,1,32,1,0.962,36.083,10.097,5464
86,MobileNetV3,ImageNet,1,64,1,0.99,EfficientNet,CIFAR-10,1,32,0,1.011,35.301,6.959,5036
87,MobileNetV3,ImageNet,1,64,1,1.024,EfficientNet,CIFAR-10,1,32,1,1.003,32.068,5.945,4904
88,MobileNetV3,ImageNet,1,64,0,0.944,EfficientNet,CIFAR-10,1,64,0,0.839,44.613,16.667,6082
89,MobileNetV3,ImageNet,1,64,0,1.012,EfficientNet,CIFAR-10,1,64,1,1.003,42.083,11.375,5580
90,MobileNetV3,ImageNet,1,64,1,0.967,EfficientNet,CIFAR-10,1,64,0,0.924,41.932,10.904,5494
91,MobileNetV3,ImageNet,1,64,1,1.006,EfficientNet,CIFAR-10,1,64,1,1.001,36.616,7.0,5020
92,MobileNetV3,ImageNet,1,64,0,0.879,EfficientNet,CIFAR-10,1,128,0,0.906,55.197,22.658,5868
93,MobileNetV3,ImageNet,1,64,0,0.982,EfficientNet,CIFAR-10,1,128,1,0.952,49.753,16.26,5646
94,MobileNetV3,ImageNet,1,64,1,0.991,EfficientNet,CIFAR-10,1,128,0,0.914,52.324,18.878,5308
95,MobileNetV3,ImageNet,1,64,1,1.018,EfficientNet,CIFAR-10,1,128,1,0.873,42.068,10.685,5086
96,MobileNetV3,ImageNet,1,128,0,0.924,EfficientNet,CIFAR-10,1,32,0,0.955,42.792,15.153,6758
97,MobileNetV3,ImageNet,1,128,0,0.946,EfficientNet,CIFAR-10,1,32,1,0.941,40.639,13.792,6626
98,MobileNetV3,ImageNet,1,128,1,1.001,EfficientNet,CIFAR-10,1,32,0,0.954,39.806,10.069,5546
99,MobileNetV3,ImageNet,1,128,1,0.991,EfficientNet,CIFAR-10,1,32,1,0.991,38.5,8.986,5412
100,MobileNetV3,ImageNet,1,128,0,0.888,EfficientNet,CIFAR-10,1,64,0,0.872,49.833,19.056,7216
101,MobileNetV3,ImageNet,1,128,0,0.931,EfficientNet,CIFAR-10,1,64,1,1.056,47.054,15.703,6740
102,MobileNetV3,ImageNet,1,128,1,0.982,EfficientNet,CIFAR-10,1,64,0,0.913,48.473,14.378,6004
103,MobileNetV3,ImageNet,1,128,1,0.984,EfficientNet,CIFAR-10,1,64,1,0.969,41.264,10.111,5528
104,MobileNetV3,ImageNet,1,128,0,0.824,EfficientNet,CIFAR-10,1,128,0,0.816,53.653,23.736,7030
105,MobileNetV3,ImageNet,1,128,0,0.884,EfficientNet,CIFAR-10,1,128,1,0.884,49.817,17.789,6808
106,MobileNetV3,ImageNet,1,128,1,0.92,EfficientNet,CIFAR-10,1,128,0,0.904,54.447,20.763,5818
107,MobileNetV3,ImageNet,1,128,1,0.941,EfficientNet,CIFAR-10,1,128,1,0.955,48.5,13.014,5596
108,MobileNetV3,ImageNet,1,32,0,0.933,VGG,CIFAR-10,1,32,0,1.052,47.707,24.693,6102
