job_id,priority
765876,15390
765877,10917
765878,15390
765879,15390
765881,10917
765882,10917
765883,10917
765884,10917
765885,38220
765886,10917
765887,10917
765888,10917
765889,10917
765890,10917
765891,10917
765892,10917
765893,10917
765894,59041
765895,38220
765896,10917
765898,10917
765899,10326
765900,10326
765901,10326
765902,10326
765903,10917
765904,10917
765905,10326
765906,10326
765907,10326
765908,10917
765909,10917
765910,10326
765911,10326
765912,10326
765913,10917
765914,10326
765915,10917
765916,10326
765917,10917
765918,12489
765919,10326
765920,10326
765921,10326
765923,10326
765924,12489
765925,10917
765926,10326
765927,12489
765928,10326
765929,10917
765930,10326
765931,15390
765932,12489
765933,10326
765934,10917
765935,15390
765936,10917
765937,10326
765939,15390
765940,10917
765941,10326
765942,10917
765943,10326
765944,10917
765945,10326
765946,10326
765947,10326
765948,10917
765949,10326
765950,10917
765951,10326
765952,10326
765953,10917
765954,10917
765955,10326
765956,10326
765958,67968
765959,10326
765960,10326
765961,10326
765962,10326
765963,10326
765964,10326
765965,10326
765966,10326
765967,12489
765968,10326
765969,10917
765970,10326
765971,12489
765972,10326
765973,10326
765976,12489
765975,10326
765974,10326
765978,10917
765980,10917
765981,10326
765982,12489
765983,12489
765984,12489
765985,15390
765986,49684
765987,10326
765988,10326
765989,10326
765990,12489
765991,10326
765992,10725
765993,10326
765994,10917
765995,10326
765996,10326
765997,10725
765998,12489
765999,10326
766000,10326
766001,10326
766002,10725
766003,12489
766004,10326
766005,10326
766006,10326
766008,10725
766009,10326
766010,12489
766011,10326
766012,13765
766013,12489
766014,12489
766015,13765
766018,12489
766019,10326
766021,10326
766022,12489
766023,13765
766024,10326
766025,10326
766026,10725
766027,10326
766028,12489
766029,10725
766031,10917
766032,10326
766033,10326
766034,12489
766035,11602
766036,10326
766037,12489
766038,11602
766040,12489
766041,10917
766042,12489
766043,10917
766044,11602
766045,10326
766046,10917
766048,10326
766049,13765
766050,10326
766051,10725
766052,10326
766053,11602
766054,10326
766055,10326
766056,10326
766057,10326
766058,34071
766059,34071
766060,10725
766061,34071
766062,34071
766063,10917
766064,34071
766065,34071
766066,34071
766067,34071
766068,15390
766070,34071
766071,34071
766072,13765
766073,34071
766074,10326
766075,34071
766077,15390
766080,10326
766081,10326
766083,13765
766084,11602
766085,10326
766086,15390
766087,34071
766088,11602
766089,34071
766090,13765
766091,10326
766092,10326
766093,34071
766094,10326
766095,59041
766097,10326
766098,10326
766099,13537
766100,10326
766101,15390
766102,10326
766104,10326
766107,15390
766108,59041
766109,15390
766111,15390
766112,49684
766113,49684
766114,10326
766115,10326
766116,10326
766117,10326
766118,10326
766119,13765
766120,10326
766121,12489
766122,10326
766123,10917
766124,10326
766125,10326
766126,10326
766127,10326
766128,10326
766129,49684
766130,10326
766131,49684
766132,10326
766133,10326
766134,10326
766135,10326
766136,15390
766137,10326
766138,10326
766139,10326
766140,10326
766141,10326
766142,10326
766143,10326
766145,18759
766146,11602
766148,15390
766150,10326
766152,10326
766153,18759
766154,10326
766155,10326
766156,10326
766157,15390
766158,12489
766159,18759
766160,12489
766161,12489
766162,12489
766163,18759
766164,10917
766165,12489
766166,10917
766167,10326
766168,10326
766169,15390
766171,10725
766172,11602
766174,13765
766175,15390
766176,15390
766177,11602
766178,15390
766179,15390
766180,15390
766181,15390
766182,11602
766183,10917
766184,15390
766185,10917
766186,10917
766187,10326
766188,11602
766189,10326
766190,12489
766192,10326
766193,12489
766194,15390
766195,12489
766196,86834
766197,10326
766198,10725
766199,12489
766201,11602
766202,10326
766203,15390
766205,10917
766206,12489
766207,10326
766208,10326
766209,10917
766210,10326
766211,10917
766213,10326
766214,10801
766216,10326
766218,15390
766219,11602
766220,11602
766221,10326
766222,11602
766223,10326
766225,10326
766226,10801
766227,10326
766228,10917
766229,10801
766230,10801
766231,10917
766232,10326
766233,10801
766234,10326
766235,10801
766236,10801
766238,10326
766239,15390
766240,10326
766241,10917
766242,10326
766243,10326
766244,10917
766245,10326
766246,10326
766247,10326
766248,10326
766249,10326
766250,15390
766251,10326
766252,10917
766253,10326
766254,10326
766255,12489
766256,10326
766257,10326
766258,10326
766259,11602
766260,10326
766261,10326
766262,11602
766263,10326
766264,10326
766266,10326
766267,11602
766269,10326
766270,11602
766271,10326
766272,11602
766273,10326
766274,10326
766275,10326
766276,10326
766277,15390
766278,10326
766279,10326
766280,10326
766283,11602
766284,10326
766285,10326
766287,10326
766288,10326
766290,10326
766291,10326
766292,10917
766293,10326
766294,10326
766295,12489
766296,10326
766297,10326
766302,10326
766303,10326
766304,12489
766305,10326
766306,10326
766307,10326
766309,10326
766311,10326
766312,10326
766313,10326
766314,10326
766316,10326
766317,10326
766320,10326
766321,10326
766322,10326
766323,10326
766324,10326
766325,10326
766326,10326
766327,10326
766329,10326
766330,10326
766331,11602
766332,10326
766333,10326
766334,10326
766335,10326
766336,10326
766337,10326
766338,10326
766339,10326
766340,10326
766342,10326
766344,10326
766345,10326
766346,10326
766348,10326
766349,10326
766350,10326
766353,10326
766354,10326
766355,10326
766356,12489
766357,10326
766358,10326
766359,10326
766360,10326
766361,10326
766362,10917
766363,10326
766364,10326
766365,10326
766367,10326
766368,10917
766369,12489
766371,10326
766372,10326
766373,10326
766375,10326
766376,10917
766377,12489
766378,10326
766381,10326
766382,10326
766383,10326
766384,10326
766385,10326
766386,10917
766387,10326
766388,12489
766390,10326
766391,10326
766393,11602
766394,12489
766395,10326
766397,12489
766398,10326
766399,10326
766400,11602
766401,12489
766402,11602
766403,10917
766404,10326
766405,12489
766407,10326
766408,10326
766411,12489
766414,10326
766415,12489
766416,12489
766417,11602
766419,10326
766420,10326
766422,10917
766424,10326
766426,15390
766427,12489
766429,12489
766430,15390
766431,10326
766432,13765
766434,13765
766436,10326
766437,12489
766439,10326
766441,10326
766442,10326
766443,10917
766444,10326
766445,12489
766446,15390
766449,10326
766450,15390
766451,59041
766452,12489
766453,15390
766454,10326
766459,10917
766460,10326
766461,10326
766462,10326
766463,17901
766464,10917
766465,12489
766466,15390
766467,10917
766468,17901
766469,10917
766470,15390
766471,10917
766473,10326
766474,17901
766475,17901
766476,12489
766478,10917
766480,10326
766481,10917
766482,10326
766483,12489
766484,11602
766486,12489
766487,10326
766488,11602
766491,10326
766492,12489
766493,10326
766495,10917
766496,12489
766497,10326
766500,10326
766501,12489
766502,10326
766510,10326
766512,13765
766514,10917
766515,10326
766516,12489
766517,10326
766518,10917
766519,10326
766521,12489
766522,10917
766524,10326
766528,10326
766529,10326
766533,59041
766534,10326
766535,15390
766539,10326
766540,10917
766542,10326
766543,10326
766544,10326
766545,10326
766546,10326
766548,10917
766550,10326
766551,10326
766552,10326
766554,10326
766555,10917
766556,10917
766557,10326
766558,10326
766560,12489
766559,15390
766562,10326
766563,10326
766564,15390
766565,10326
766566,10326
766567,10326
766568,10326
766569,15390
766570,10326
766571,10326
766572,10326
766573,10326
766575,10917
766576,10326
766577,10326
766578,10326
766580,10326
766581,10326
766582,10326
766583,10917
766584,11602
766585,12489
766587,10326
766588,10326
766589,10917
766590,10917
766591,10326
766592,10326
766593,10326
766594,10326
766595,10326
766596,10326
766597,15390
766598,10326
766599,10326
766600,15390
766601,10917
766602,10326
766603,10326
766604,10326
766605,10326
766606,10326
766607,10326
766608,12192
766609,10326
766610,15390
766611,10326
766613,10326
766614,12489
766615,10326
766616,10917
766617,10326
766618,12192
766619,10917
766620,10917
766621,10326
766622,15390
766624,12489
766626,10326
766627,10326
766628,10326
766629,10326
766630,10326
766631,10917
766632,10326
766633,10326
766634,10326
766635,10326
766636,10326
766637,15390
766638,12489
766639,10326
766640,10326
766641,10326
766642,10326
766643,10917
766644,10326
766645,15390
766646,10326
766647,10326
766648,10917
766649,10326
766650,10326
766651,15390
766652,10326
766653,15390
766654,15390
766655,10326
766656,10326
766658,10326
766659,10326
766660,10326
766661,10326
766662,10326
766663,10326
766664,10917
766665,12489
766666,10917
766667,10917
766668,10326
766669,10326
766670,10326
766671,10326
766672,10326
766674,10326
766675,10326
766677,59041
766678,10326
766680,10326
766681,10326
766683,10326
766685,12489
766686,10326
766687,10326
766689,10326
766690,10326
766691,10326
766692,10326
766694,10326
766695,10326
766696,10326
766698,10326
766699,10326
766701,10326
766702,10326
766703,10326
766705,10326
766706,10326
766707,10326
766708,10326
766709,10326
766710,10917
766712,10326
766713,10326
766714,13765
766716,59041
766717,10326
766720,10326
766721,10326
766722,10326
766725,10917
766727,10326
766728,15390
766729,15390
766730,34071
766731,15390
766732,10326
766733,15390
766734,15390
766735,15390
766738,10326
766740,10917
766741,10917
766742,10917
766743,10326
766744,10326
766746,10326
766748,10326
766749,10326
766750,10326
766755,75896
766756,17901
766757,75896
766758,10326
766759,75896
766760,17901
766761,10326
766762,17901
766763,75896
766764,10326
766765,10326
766766,75896
766767,10326
766768,10326
766769,10326
766770,75896
766771,10326
766772,10326
766773,10326
766774,10326
766775,10326
766776,10326
766777,10326
766778,10326
766779,10326
766780,10326
766781,10326
766782,10326
766783,10326
766784,10326
766785,10326
766786,10326
766787,10326
766788,10326
766790,10326
766798,10326
766799,12489
766800,10725
766801,12489
766802,10326
766803,12489
766804,10725
766805,12489
766806,12489
766807,10326
766808,10326
766809,10326
766810,10326
766811,10326
766812,10326
766813,10326
766814,10326
766815,10326
766816,10326
766817,12489
766818,10326
766819,10326
766820,12489
766821,10326
766822,10326
766823,10326
766824,10326
766825,10326
766826,10326
766827,10326
766828,15390
766829,10326
766831,10326
766835,15390
766837,15390
766838,15390
766843,10917
766844,31011
766845,10326
766847,10917
766848,12489
766849,12489
766850,10917
766851,34071
766852,10917
766853,10326
766854,10917
766855,12489
766856,10917
766857,10917
766858,10326
766859,10326
766860,10917
766861,10326
766862,10326
766863,10917
766864,10326
766865,10326
766866,10917
