job_id,priority
766528,1490
766529,-17147
766534,-17212
766533,252128
766535,2061
766539,-17511
766540,-41
766542,-20964
766543,6390
766544,-17948
766545,-17156
766546,1786
766548,8044
766550,-17895
766551,-17764
766552,3612
766555,-64
766554,-18963
766556,5280
766557,-18999
766558,-3218
766559,-694
766560,428
766562,2137
766563,-17147
766564,218244
766565,3115
766566,2069
766567,6624
766568,-20002
766569,10100
766570,2137
766571,-2864
766572,-14845
766573,3768
766575,-64
766576,2069
766577,-2919
766578,-18141
766580,3750
766581,-15970
766582,1358
766583,-3089
766584,1807
766585,129789
766587,2220
766588,-18259
766589,107
766590,-2869
766591,-20019
766592,-7990
766593,4724
766594,-14639
766595,2041
766596,-19270
766597,4875
766598,5634
766599,-18951
766600,6563
766601,3916
766602,1603
766603,2041
766604,-18203
766605,-3920
766606,-18951
766607,3455
766608,2569
766609,-19197
766610,2834
766611,2547
766613,-18821
766614,-5922
766615,-18203
766616,19918
766617,-19789
766618,2667
766619,11582
766620,1898
766621,-18951
766622,2752
766624,8558
766626,-18218
766627,-20019
766628,2556
766629,-187
766630,-14639
766631,3609
766632,1623
766633,2612
766634,772
766635,-17954
766636,960
766637,161452
766638,23606
766639,-20089
766640,2249
766641,-275
766642,-19726
766643,5273
766644,4932
766645,20844
766646,-18951
766647,7892
766648,130533
766649,-8571
766650,-19197
766651,26055
766652,5341
766653,138720
766654,-3844
766655,-19008
766656,34484
766658,-17954
766659,9678
766660,-19197
766661,-127
766662,-18774
766663,-20642
766664,178064
766665,179627
766666,188049
766667,6111
766668,-461
766669,3496
766670,-18567
766671,1744
766672,-18567
766674,2105
766675,-22089
766677,226578
766678,-18259
766680,-19197
766681,-1943
766683,-18951
766685,13960
766686,3603
766687,-14639
766689,-275
766690,-2773
766691,-1921
766692,-18259
766694,2651
766695,1090
766696,-3462
766698,3603
766699,-10007
766701,456
766702,8223
766703,3603
766705,2047
766706,-4883
766707,3780
766708,-748
766709,-805
766710,3235
766712,-2050
766713,-6275
766714,13401
766716,154822
766717,6763
766720,119185
766721,1901
766722,6415
766725,145353
766727,-1194
766728,96950
766729,122005
766730,21521
766731,136102
766732,-395
766733,101202
766734,124060
766735,135118
766738,-2421
766740,2622
766741,5939
766742,6706
766743,948
766744,-2177
766746,-8666
766748,-3141
766749,-2284
766750,293
766755,13861
766756,-3204
766757,25403
766758,-3260
766759,10628
766760,126251
766761,3064
766762,13971
766763,11370
766764,-3565
766765,-127
766766,157828
766767,-3745
766768,3501
766769,6796
766770,161111
766771,4476
766772,3200
766773,5514
766774,4680
766775,4689
766776,6227
766777,3169
766778,3688
766779,5573
766780,4770
766781,5995
766782,3200
766783,2916
766784,5333
766785,4468
766786,4412
766787,4165
766788,4244
766790,4408
766798,14222
766799,32204
766800,-1856
766801,30527
766802,3710
766803,30329
766804,177685
766805,30329
766806,168906
766807,3477
766808,1210
766809,167954
766810,506
766811,163657
766812,1070
766813,180400
766814,12081
766815,139334
766816,32786
766817,-7505
766818,2134
766819,-2938
766820,12516
766821,-485
766822,1496
766823,1727
766824,1297
766825,3277
766826,998
766827,179163
766828,4345
766829,2645
766831,-1428
766835,188777
766837,161749
766838,140443
766843,160070
766844,4468
766845,5424
766847,700
766848,-3617
766849,-5741
766850,2348
766851,1142
766852,9232
766853,1456
766854,5684
766855,-5103
766856,-110
766857,1711
766858,6607
766859,-2223
766860,-693
766861,-2796
766862,-283
766863,-2922
766864,-1585
766865,-973
766866,4736
766867,402
766868,4250
766869,-1989
766870,-4213
766871,-3221
766872,-1658
766873,-1904
766874,-4601
766875,992
766876,-4675
766877,2766
766878,-5360
766879,-3575
766880,1667
766882,-8031
766883,6187
766884,8102
766885,-1904
766886,-5751
766887,3925
766888,-4213
766889,-7555
766890,4420
766891,11875
766892,2577
766893,5608
766894,3164
766896,2961
766897,34686
766898,4897
766899,4411
766900,-1714
766901,-5902
766902,3913
766904,4364
766905,256
766906,-7515
766907,1496
766908,-226
766909,-2607
766910,4704
766911,-4666
766912,-3563
766913,3913
766914,3575
766915,2697
766916,6752
766917,5734
766918,4505
766919,4414
766920,1848
766921,175268
766922,7211
766923,11248
766924,6911
766925,6734
766926,9412
766927,-1558
766928,209599
766929,9440
766930,6519
766931,4269
766932,5927
766933,5059
766934,3915
766936,1863
766937,4359
766938,7971
766941,3323
766942,-690
766944,1946
766946,9523
766947,18242
766948,-1536
766951,16007
766953,-6595
766955,3146
766956,2154
766958,3652
766959,3517
766961,5916
766962,5583
766963,5262
766964,171657
766965,3146
766966,2686
766967,5470
766969,2154
766970,4269
766971,1824
766974,4919
766975,2686
766976,-5422
766977,9572
766978,-6488
766979,9057
766980,-918
766981,5197
766982,2475
766984,-234
766985,-1300
766987,1570
766988,2369
766989,-766
766990,7460
766991,6145
766995,53268
766996,7259
766997,5667
766998,15578
766999,56394
767000,-1869
767001,313
767002,1818
767003,4460
767004,3487
767006,162216
767007,925
767008,3738
767009,-1814
767010,21821
767011,4563
767012,2602
767013,3178
767014,-1814
767015,197311
767016,9781
767017,918
767019,5456
767020,1360
767021,3738
767022,-2002
767023,-2239
767024,3094
767025,2768
767026,6878
767027,3876
767028,1122
767029,1092
767030,4370
767031,5011
767032,-1288
767033,9543
767034,3094
767035,-8024
767036,4608
767037,1657
767038,3970
767039,-2716
767040,-3996
767041,3192
767042,-2164
767043,5456
767044,260966
767045,4366
767047,-1925
767048,4029
767049,-2716
767050,-1875
767051,1962
767052,-2716
767053,4667
767055,-3863
767057,-678
767058,4370
767059,2438
767060,3927
767061,-2164
767062,25041
767063,3738
767064,-2042
767065,4318
767066,18160
767068,4479
767069,6493
767070,12311
767071,-2716
767072,5031
767073,-2894
767074,4051
767075,1657
767076,2602
767077,4974
767078,995
767079,17
767080,4029
767081,3132
767082,-3652
767083,4015
767084,-112
767085,-2239
767086,731
767087,3610
767089,1663
767088,-3099
767090,5271
767091,1657
767092,-596
767093,31917
767094,2561
767095,4246
767096,155083
767097,5271
767098,9794
767099,5271
767100,34630
767101,4279
767102,4126
767103,6164
767104,5271
767105,2130
767109,3691
767113,3088
767115,5118
767114,2775
767116,3649
767117,-793
767118,-3814
767120,3423
767119,-2544
767121,60
767122,60
767124,28239
767125,-2103
767126,-1992
767128,6753
767129,-2417
767130,12079
767133,7499
767134,-2417
767135,411
767136,-1688
767137,10073
767141,-742
767142,-742
767143,355
767144,12386
767145,-1044
767146,-796
767147,-774
767148,1959
767149,1495
767150,13182
767152,16324
767154,17011
767155,11722
767157,1893
767158,13513
767161,4803
767163,-2877
767164,155081
767165,2794
767166,6539
767167,13182
767168,3503
767169,3049
767170,1767
767171,757
767172,11722
767173,-2082
767174,4717
767175,15163
767176,4874
767177,4829
767178,4145
767179,15532
767181,1893
767182,4346
767183,4346
767184,1448
767185,3874
767187,220956
767188,1642
767190,4650
767191,2487
767192,-23578
767193,131564
767194,116062
767195,4237
767196,-1586
767197,96322
767198,209
767199,157645
767200,4948
767201,3858
767202,256
767206,2361
767205,1282
767207,168352
767209,6522
767210,92675
767213,2660
767214,2946
767215,2411
767216,9015
767217,2852
767218,3332
767219,5979
767220,-1618
767222,3917
767223,35730
767228,33688
767230,3780
767231,4485
767232,6307
